名前,平均順位,局収支,安定段位,安定レート,和了率,和了素点,和了巡目,放銃率,放銃素点,放銃巡目,立直率,立直巡目,立直成功率,副露率,副露巡目,流局聴牌率
†Aqua†,2.456,21.468,8.121,2189.97,0.22,5341.77,10.498,0.122,4813.116,10.656,0.18,8.612,0.472,0.372,5.512,0.456
わっしょい君2号,2.453,68.687,8.244,2207.998,0.215,5793.505,10.744,0.117,4989.623,10.854,0.184,8.824,0.494,0.329,5.83,0.431
イニエスタ,2.443,71.178,8.529,2204.942,0.206,5643.553,10.575,0.111,4685.789,10.592,0.15,8.465,0.502,0.351,5.846,0.406
すずめクレイジー,2.441,83.347,8.768,2207.453,0.203,5798.704,10.828,0.108,4702.499,10.592,0.137,8.86,0.516,0.306,6.194,0.369
しおまねき,2.51,46.399,6.954,2109.165,0.196,6147.556,10.846,0.117,4869.704,10.676,0.185,9.399,0.471,0.288,5.471,0.405
Jan-Mach,2.462,62.995,7.7,2184.788,0.219,5586.308,10.727,0.128,4885.999,10.497,0.134,8.934,0.509,0.412,5.774,0.481
ピコマスティフ,2.446,51.014,8.203,2212.036,0.215,5732.572,10.627,0.122,4949.864,10.528,0.175,8.816,0.482,0.384,5.784,0.434
アフリカ,2.5,24.664,7.078,2132.088,0.218,5270.986,10.509,0.116,4872.133,10.726,0.153,8.537,0.5,0.381,5.551,0.418
boyatetu,2.516,-15.35,6.869,2125.102,0.2,5981.352,10.759,0.114,5118.669,10.999,0.187,8.781,0.476,0.266,6.034,0.399
夕凪,2.441,63.297,9.128,2216.41,0.206,5528.528,10.598,0.103,4788.294,10.694,0.121,8.613,0.522,0.341,6.152,0.37
北の対子落とし,2.458,64.937,8.28,2192.825,0.221,5298.143,10.638,0.112,4901.524,10.684,0.149,8.514,0.514,0.351,5.852,0.423
基礎論,2.477,38.433,7.653,2149.53,0.205,5664.519,10.701,0.114,4775.403,10.687,0.152,8.753,0.484,0.32,5.949,0.404
スティア,2.49,-0.579,7.309,2157.111,0.211,5730.709,10.795,0.126,4968.098,10.737,0.181,8.793,0.49,0.343,5.398,0.431
沖ヒカル（本物）,2.545,-78.078,6.265,2086.595,0.206,5436.868,10.666,0.123,5036.834,10.759,0.15,8.543,0.48,0.344,6.052,0.448
うきでん,2.53,-42.643,6.588,2090.582,0.208,5265.375,10.578,0.118,4565.83,10.712,0.166,8.376,0.5,0.389,5.253,0.399
ちゃここ,2.517,-27.002,6.923,2121.492,0.206,5559.958,10.478,0.117,4890.551,10.799,0.155,8.918,0.472,0.399,5.603,0.405
いししんID紛失,2.497,58.926,7.499,2119.781,0.211,5421.843,10.457,0.103,4836.446,10.47,0.156,8.659,0.505,0.35,5.364,0.355
neo@uni,2.415,76.557,8.843,2234.811,0.223,5417.198,10.702,0.12,4875.865,10.733,0.164,8.672,0.503,0.344,5.876,0.464
テレビっ子,2.495,31.586,7.269,2135.644,0.204,5855.882,10.732,0.121,4790.398,10.704,0.174,9.035,0.479,0.314,5.817,0.416
μしもで,2.503,16.157,7.029,2138.128,0.205,5865.229,10.753,0.126,4754.123,10.696,0.154,8.844,0.493,0.339,6.054,0.422
ぽみゅ,2.465,74.252,7.427,2182.042,0.222,5784.132,10.828,0.137,5027.873,10.785,0.211,8.86,0.477,0.35,5.785,0.524
高橋淳,2.483,-0.487,7.706,2165.325,0.203,5747.693,10.604,0.11,4966.252,10.775,0.151,8.89,0.498,0.304,5.625,0.373
masasio,2.49,19.276,6.923,2153.5,0.214,5834.614,10.771,0.132,4975.674,10.726,0.186,8.949,0.492,0.31,5.515,0.439
Ri-Mo-,2.476,33.956,7.778,2161.914,0.222,5203.344,10.462,0.119,4808.619,10.677,0.155,8.649,0.492,0.414,5.489,0.43
バイアラン,2.485,2.492,7.818,2149.403,0.195,5773.565,10.562,0.11,4768.846,10.615,0.14,8.666,0.498,0.37,5.647,0.378
次は法廷で会おう,2.502,-13.13,6.899,2139.448,0.216,5543.149,10.653,0.127,4993.342,10.773,0.169,8.844,0.483,0.359,5.706,0.438
つばきち03,2.442,51.875,7.965,2197.293,0.217,5475.103,10.524,0.123,4818.47,10.665,0.164,8.759,0.475,0.43,5.42,0.456
清竜闘士,2.537,-55.301,6.376,2095.639,0.206,5595.189,10.706,0.124,4992.546,10.856,0.14,9.243,0.468,0.337,6.352,0.429
G.K,2.497,12.568,6.769,2145.958,0.214,5743.983,10.594,0.124,4987.613,10.701,0.18,8.97,0.475,0.362,5.283,0.421
烏賊之輔,2.451,50.187,8.195,2205.794,0.21,5703.313,10.759,0.114,4872.276,10.635,0.154,9.008,0.506,0.326,5.826,0.41
gush,2.519,-8.879,6.413,2116.426,0.216,5673.689,10.684,0.13,5056.02,10.766,0.187,8.957,0.482,0.325,5.657,0.442
ＩＣＨＩ,2.492,7.181,7.918,2157.041,0.203,5542.854,10.516,0.093,4962.38,10.543,0.162,8.57,0.513,0.319,5.808,0.328
大和田頭取,2.45,51.751,8.494,2211.094,0.205,5745.097,10.62,0.108,4841.881,10.783,0.174,8.84,0.477,0.33,5.89,0.402
しょこしょこ,2.464,44.906,8.051,2191.733,0.217,5617.371,10.614,0.117,4966.638,10.902,0.162,8.934,0.493,0.356,5.845,0.434
Seria,2.456,58.178,8.095,2204.127,0.211,5923.057,10.683,0.12,5031.377,10.854,0.199,8.818,0.483,0.332,5.873,0.45
ようへーX,2.484,17.986,7.384,2161.087,0.218,5429.179,10.483,0.126,4959.342,10.66,0.156,8.509,0.489,0.445,5.206,0.481
ジャッキ～,2.483,24.453,7.559,2167.844,0.2,6047.888,10.88,0.113,4988.1,10.937,0.182,8.885,0.49,0.259,6.292,0.397
手打ちきしめん,2.491,18.092,7.576,2151.108,0.208,5645.137,10.646,0.118,4897.569,10.771,0.153,9.042,0.485,0.329,5.957,0.423
kuzun,2.472,41.746,7.875,2182.431,0.204,5900.727,10.783,0.112,5051.202,10.736,0.177,8.762,0.492,0.323,6.16,0.409
スケーター,2.477,-2.15,7.682,2161.609,0.2,5632.119,10.569,0.107,4891.165,10.62,0.149,8.74,0.497,0.342,5.654,0.372
武則輝海,2.474,20.931,7.452,2176.864,0.206,5671.908,10.679,0.116,4720.18,10.79,0.145,8.762,0.5,0.309,5.895,0.38
BIGBOSS,2.522,-38.206,6.876,2111.83,0.207,5480.017,10.536,0.114,4868.478,10.629,0.164,8.524,0.498,0.34,5.553,0.368
usk1115,2.464,68.463,7.279,2168.968,0.22,5709.406,10.634,0.137,4959.634,10.692,0.173,8.923,0.467,0.392,5.472,0.487
えりんぼP,2.463,95.904,7.356,2195.304,0.228,5825.799,10.774,0.136,5094.893,10.746,0.183,8.944,0.483,0.352,5.739,0.498
人生フルゼンツ,2.472,27.299,7.895,2183.2,0.219,5412.201,10.655,0.116,4861.312,10.676,0.169,8.743,0.498,0.354,5.596,0.416
凱章,2.553,-61.84,6.074,2076.431,0.199,5842.661,11.017,0.126,5032.128,11.029,0.162,9.164,0.485,0.247,6.714,0.456
hinajinn,2.491,5.912,6.948,2150.081,0.2,5880.157,10.721,0.118,4901.611,10.73,0.158,9.078,0.481,0.272,5.922,0.416
武威,2.463,26.246,8.093,2191.035,0.211,5625.738,10.656,0.112,4966.536,10.823,0.169,8.652,0.497,0.334,5.64,0.421
いい笑顔,2.48,67.685,7.287,2165.951,0.219,5780.038,10.851,0.134,4981.575,10.797,0.18,8.959,0.485,0.312,5.883,0.476
湘北⑭三井寿,2.507,13.107,6.606,2134.788,0.225,5639.101,10.708,0.142,5173.412,10.86,0.167,8.873,0.487,0.4,5.605,0.525
心滅獣身,2.514,-72.452,6.586,2129.911,0.21,5790.472,10.966,0.136,5164.124,10.864,0.164,8.934,0.484,0.32,5.986,0.462
レデスマ,2.523,-13.858,6.789,2100.221,0.202,5676.519,10.706,0.111,4814.806,10.72,0.196,8.765,0.471,0.261,5.677,0.367
ゆるふわ,2.517,-31.511,6.49,2123.61,0.205,5952.488,10.848,0.132,5059.062,10.873,0.181,9.059,0.469,0.361,5.934,0.468
野々宮藍,2.504,2.201,7.289,2135.641,0.217,5356.041,10.584,0.117,4973.229,10.511,0.162,8.71,0.499,0.398,5.599,0.431
よこ@c,2.503,-15.125,6.926,2144.774,0.213,5651.845,10.729,0.129,5025.485,10.879,0.16,8.754,0.495,0.348,5.602,0.451
サウナ小僧,2.455,40.925,8.005,2205.805,0.208,5808.583,10.617,0.112,4914.474,10.502,0.18,8.781,0.488,0.323,5.615,0.388
シェフチョコ,2.519,-53.688,6.554,2114.984,0.216,5241.598,10.547,0.123,4951.741,10.55,0.158,8.66,0.493,0.397,5.562,0.432
スカーレット,2.519,-36.282,6.699,2121.016,0.214,5501.872,10.626,0.127,4952.632,10.693,0.174,8.694,0.488,0.353,5.197,0.416
iq180真剣様,2.493,-4.133,6.966,2157.72,0.211,5852.426,10.716,0.133,5071.018,10.651,0.199,8.822,0.467,0.4,5.732,0.495
